experience_skill_mining,800000
powder_mithril_total,55000,mining_core
powder_gemstone_total,40000,mining_core
MITHRIL_ORE,500000,collection
GEMSTONE_COLLECTION,1400000,collection
GOLD_INGOT,500000,collection
NETHERRACK,45000,collection
DIAMOND,1000000,collection
ICE,1000000,collection
REDSTONE,2000000,collection
INK_SACK:4,4000000,collection
SULPHUR,9999999999,collection
COAL,500000,collection
EMERALD,400000,collection
ENDER_STONE,400000,collection
GLOWSTONE_DUST,1000000,collection
GRAVEL,333333,collection
IRON_INGOT,1000000,collection
MYCEL,50000,collection
QUARTZ,400000,collection
OBSIDIAN,200000,collection
SAND:1,50000,collection
SAND,500000,collection
COBBLESTONE,1000000,collection
HARD_STONE,200000,collection
kills_scatha_10,2.5,bestiary
kills_worm_5,10,bestiary
total_placed,4,mining_core,crystals,jade_crystal
